Data_Year,Dashboard_Fuel_Type_Group,Fuel_Type,ZIP,Number_of_Vehicles
2010,Battery Electric (BEV),Battery Electric (BEV),94306,7
2010,Battery Electric (BEV),Battery Electric (BEV),94305,1
2010,Battery Electric (BEV),Battery Electric (BEV),94304,9
2010,Battery Electric (BEV),Battery Electric (BEV),94303,3
2010,Battery Electric (BEV),Battery Electric (BEV),94301,8
2010,Diesel,Diesel,94309,3
2010,Diesel,Diesel,94306,145
2010,Diesel,Diesel,94305,19
2010,Diesel,Diesel,94304,16
2010,Diesel,Diesel,94303,143
2010,Diesel,Diesel,94301,104
2010,Gasoline,Flex Fuel,94309,1
2010,Gasoline,Flex Fuel,94306,84
2010,Gasoline,Flex Fuel,94305,34
2010,Gasoline,Flex Fuel,94304,16
2010,Gasoline,Flex Fuel,94303,304
2010,Gasoline,Flex Fuel,94301,61
2010,Gasoline,Gasoline,94309,343
2010,Gasoline,Gasoline,94306,15702
2010,Gasoline,Gasoline,94305,3504
2010,Gasoline,Gasoline,94304,1919
2010,Gasoline,Gasoline,94303,24763
2010,Gasoline,Gasoline,94301,9901
2010,Gasoline Hybrid,Gasoline Hybrid,94309,11
2010,Gasoline Hybrid,Gasoline Hybrid,94306,1118
2010,Gasoline Hybrid,Gasoline Hybrid,94305,246
2010,Gasoline Hybrid,Gasoline Hybrid,94304,110
2010,Gasoline Hybrid,Gasoline Hybrid,94303,942
2010,Gasoline Hybrid,Gasoline Hybrid,94301,986
2010,Other,Natural Gas,94306,1
2010,Other,Natural Gas,94303,4
2010,Other,Natural Gas,94301,3
2011,Battery Electric (BEV),Battery Electric (BEV),94309,1
2011,Battery Electric (BEV),Battery Electric (BEV),94306,23
2011,Battery Electric (BEV),Battery Electric (BEV),94305,4
2011,Battery Electric (BEV),Battery Electric (BEV),94304,20
2011,Battery Electric (BEV),Battery Electric (BEV),94303,29
2011,Battery Electric (BEV),Battery Electric (BEV),94301,38
2011,Diesel,Diesel,94309,3
2011,Diesel,Diesel,94306,180
2011,Diesel,Diesel,94305,26
2011,Diesel,Diesel,94304,36
2011,Diesel,Diesel,94303,173
2011,Diesel,Diesel,94301,123
2011,Gasoline,Flex Fuel,94309,3
2011,Gasoline,Flex Fuel,94306,99
2011,Gasoline,Flex Fuel,94305,49
2011,Gasoline,Flex Fuel,94304,18
2011,Gasoline,Flex Fuel,94303,317
2011,Gasoline,Flex Fuel,94301,93
2011,Gasoline,Gasoline,94309,311
2011,Gasoline,Gasoline,94306,15524
2011,Gasoline,Gasoline,94305,3354
2011,Gasoline,Gasoline,94304,1834
2011,Gasoline,Gasoline,94303,24999
2011,Gasoline,Gasoline,94301,9829
2011,Gasoline Hybrid,Gasoline Hybrid,94309,18
2011,Gasoline Hybrid,Gasoline Hybrid,94306,1228
2011,Gasoline Hybrid,Gasoline Hybrid,94305,260
2011,Gasoline Hybrid,Gasoline Hybrid,94304,120
2011,Gasoline Hybrid,Gasoline Hybrid,94303,1015
2011,Gasoline Hybrid,Gasoline Hybrid,94301,1018
2011,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94306,1
2011,Plug-in Hybrid (PHEV),Plug-in Hybrid (PHEV),94304,3
